match_id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin,Country_id
392234,Deccan Chargers,Kings XI Punjab,5/17/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Deccan Chargers,Kings XI Punjab,field,runs,Result,Yuvraj Singh,1,2
392235,Delhi Daredevils,Rajasthan Royals,5/17/2009,2009,OUTsurance Oval,Bloemfontein,South Africa,Delhi Daredevils,Delhi Daredevils,bat,runs,Result,AB de Villiers,14,2
392236,Chennai Super Kings,Kolkata Knight Riders,5/18/2009,2009,SuperSport Park,Centurion,South Africa,Chennai Super Kings,Kolkata Knight Riders,bat,wickets,Result,BJ Hodge,7,2
392237,Royal Challengers Bangalore,Delhi Daredevils,5/19/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Delhi Daredevils,Royal Challengers Bangalore,bat,wickets,Result,JH Kallis,7,2
392238,Kolkata Knight Riders,Rajasthan Royals,5/20/2009,2009,Kingsmead,Durban,South Africa,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,LR Shukla,4,2
392239,Chennai Super Kings,Kings XI Punjab,5/20/2009,2009,Kingsmead,Durban,South Africa,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,M Muralitharan,24,2
392240,Delhi Daredevils,Mumbai Indians,5/21/2009,2009,SuperSport Park,Centurion,South Africa,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,V Sehwag,4,2
392241,Royal Challengers Bangalore,Deccan Chargers,5/21/2009,2009,SuperSport Park,Centurion,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,Result,MK Pandey,12,2
392242,Delhi Daredevils,Deccan Chargers,5/22/2009,2009,SuperSport Park,Centurion,South Africa,Deccan Chargers,Deccan Chargers,field,wickets,Result,AC Gilchrist,6,2
392243,Royal Challengers Bangalore,Chennai Super Kings,5/23/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,MK Pandey,6,2
